"product_id","product_name","total_sale","total_orders"
8,"Apple iMac Pro","629999","120"
7,"Apple iMac 27-Inch Retina","232199","115"
90,"Canon EOS R5 Mirrorless Camera","222299","41"
6,"Apple iMac 24-Inch","189799","133"
25,"Apple MacBook Pro 16-inch","187499","65"
40,"Dell Alienware Aurora R13","177499","63"
26,"Apple MacBook Pro 16-inch (2021)","162499","54"
43,"Dell XPS 17 Laptop","157499","68"
216,"Sony A7R IV Mirrorless Camera","155100","40"
193,"Canon EOS R6 Mirrorless Camera","144999","44"
