"product_id","last_year_rev","cu_year_rev","rev_diff","revenue_dec_ratio"
40,"69999.71999999996","22499.909999999996","47499.80999999996","-67.86"
15,"26399.760000000006","9899.91","16499.850000000006","-62.50"
166,"27299.79","11699.91","15599.880000000001","-57.14"
59,"19199.84","4799.96","14399.880000000001","-75.00"
214,"27599.879999999997","13799.939999999999","13799.939999999999","-50.00"
252,"14299.890000000003","1299.99","12999.900000000003","-90.91"
43,"41999.799999999974","29399.859999999986","12599.939999999988","-30.00"
90,"58499.84999999999","46799.87999999999","11699.970000000001","-20.00"
84,"30599.830000000005","19799.89","10799.940000000006","-35.29"
56,"25199.860000000004","14399.92","10799.940000000004","-42.86"
