"months","years","current_month_sale","last_month_sale"
"1","2020","167934.90","0"
"2","2020","177543.43","167934.90"
"3","2020","223589.80","177543.43"
"4","2020","191772.69","223589.80"
"5","2020","185878.89","191772.69"
"6","2020","214901.13","185878.89"
"7","2020","198342.99","214901.13"
"8","2020","189218.94","198342.99"
"9","2020","233400.56","189218.94"
"10","2020","211936.93","233400.56"
"11","2020","206106.41","211936.93"
"12","2020","233192.13","206106.41"
"1","2021","186850.88","233192.13"
"2","2021","205903.93","186850.88"
"3","2021","272790.70","205903.93"
"4","2021","302043.14","272790.70"
"5","2021","339878.23","302043.14"
"6","2021","346956.26","339878.23"
"7","2021","353722.47","346956.26"
"8","2021","296694.88","353722.47"
"9","2021","375905.25","296694.88"
"10","2021","215865.81","375905.25"
"11","2021","223649.65","215865.81"
"12","2021","229428.16","223649.65"
"1","2022","214132.98","229428.16"
"2","2022","164456.37","214132.98"
"3","2022","238097.15","164456.37"
"4","2022","336593.64","238097.15"
"5","2022","299014.90","336593.64"
"6","2022","281862.14","299014.90"
"7","2022","289400.34","281862.14"
"8","2022","308317.79","289400.34"
"9","2022","323418.99","308317.79"
"10","2022","172334.96","323418.99"
"11","2022","264367.77","172334.96"
"12","2022","225954.52","264367.77"
"1","2023","212693.99","225954.52"
"2","2023","220646.77","212693.99"
"3","2023","314383.31","220646.77"
"4","2023","332109.74","314383.31"
"5","2023","341232.79","332109.74"
"6","2023","280407.40","341232.79"
"7","2023","288751.44","280407.40"
"8","2023","365033.88","288751.44"
"9","2023","335639.96","365033.88"
"10","2023","227458.44","335639.96"
"11","2023","189294.03","227458.44"
"12","2023","185235.91","189294.03"
"1","2024","260912.79","185235.91"
"2","2024","100069.78","260912.79"
"3","2024","11960.65","100069.78"
"4","2024","13839.49","11960.65"
"5","2024","25378.36","13839.49"
"6","2024","9563.75","25378.36"
"7","2024","25998.37","9563.75"
