"state","category_id"
"California",3
"Colorado",5
"Connecticut",3
"Delaware",4
"Florida",5
"Georgia",3
"Hawaii",3
"Idaho",6
"Illinois",3
"Indiana",3
"Iowa",6
"Kansas",2
"Kentucky",2
"Louisiana",6
"Maine",6
"Maryland",6
"Massachusetts",6
"Michigan",5
"Minnesota",6
"Mississippi",3
"Missouri",4
"Montana",3
"Nebraska",5
"Nevada",5
"New Hampshire",2
"New Jersey",2
"New Mexico",4
"New York",3
"North Carolina",5
"North Dakota",3
"Ohio",3
"Oklahoma",2
"Oregon",2
"Pennsylvania",3
"Rhode Island",2
"South Carolina",3
"South Dakota",2
"Tennessee",3
"Texas",3
